Product Name,Item Number,Product Image,Description,Overview,Feature 1,Feature 2,Feature 3,Feature 4,CS,Size,Price,Price 1-5 Cases,Price 6-29 Cases,Price 30+ Cases,productFamily,variantLabel,sellByEach,priceBy,weight,length,width,height
38x58 Performance Plus™ Low Density Can Liners,PL385815B,https://res.cloudinary.com/ddx3g4yse/image/upload/performance-plustm-low-density-can-liners.jpg,Size: 38 x 58 | Weight: 16.2 lbs | Material: Low-Density Polyethylene (LDPE) | Case Quantity: 46305 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Performance Plus™ Low Density Can Liners for hotels, motels, resorts, and commercial facilities — No matter the mess, no matter the job, Performance Plus Can Liners offer an effective solution for any situation. Made of high quality resins, these innovative and technologically advanced low-density liners offer maximum performance plus value. Superior stretch properties minimize punctures and tearing. Interleaved rolls. Room Ready Supply supplies this performance plus™ low density can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Superior stretch resistance,Helps prevent punctures and tears,Heavy-duty liner construction,Commercial-grade durability,10/10,38 x 58,35.48,35.48,33.03,31.32,,,,CASE,16.2,17.1,13,4.8
24x33 Inteplast HDPE Institutional Trash Can Liners,S243308N,https://res.cloudinary.com/ddx3g4yse/image/upload/inteplast-hdpe-institutional-trash-can-liners.jpg,Size: 24 x 33 | Weight: 17.2 lbs | Material: High-Density Polyethylene (HDPE) | Case Quantity: 20/50 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Inteplast HDPE Institutional Trash Can Liners for hotels, motels, resorts, and commercial facilities — Great for paper and non-sharp objects under moderate transportation conditions. Excellent puncture resistance and moderate tear resistance. Prime resins used for superior quality. Compact coreless interleaved rolls for effortless dispensing. Star seal bottom. Room Ready Supply supplies this inteplast hdpe institutional trash can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Excellent puncture resistance,Cost-effective waste solution,Easy-dispense coreless rolls,Star-sealed bottom strength,20/50,24 x 33,46.81,46.81,43.58,41.32,,,,CASE,17.2,17,13,5
38x58 NAPCO Black Heavy Duty Municipal Liners,RM3858H,https://res.cloudinary.com/ddx3g4yse/image/upload/napco-black-heavy-duty-municipal-liners.jpg,Size: 38 x 58 | Weight: 21 lbs | Material: Heavy-Gauge Recycled Resin | Case Quantity: 46305 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NAPCO Black Heavy Duty Municipal Liners for hotels, motels, resorts, and commercial facilities — The heaviest true gauge recycled can liners available. These are among the most popular liners. Star seal bottom. Packaged in rugged white corrugated cartons. Coreless rolls. Room Ready Supply supplies this napco black heavy duty municipal liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Heavy-duty recycled material,True gauge thickness,Municipal-grade durability,Star-sealed bottom design,5/20,38 x 58,37.64,37.64,35.05,33.23,,,,CASE,21,17.5,13.5,5.5
38x58 NOVA® Black Repro Coreless Can Liners,NOVA519,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-black-repro-coreless-can-liners.jpg,Size: 38 x 58 | Weight: 25.5 lbs | Material: Reprocessed Resin (Up to 70% Recycled Content) | Case Quantity: 100 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NOVA® Black Repro Coreless Can Liners for hotels, motels, resorts, and commercial facilities — Reprocessed resin can liners offer an economical and environmentally conscious option, utilizing up to 70% recycled content. Designed for a wide variety of waste disposal applications. Room Ready Supply supplies this nova® black repro coreless can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Made with recycled materials,Cost-effective waste solution,Durable liner construction,Environmentally conscious choice,100,38 x 58,49.08,49.08,45.70,43.33,NOVA® Black Repro Coreless Can Liners,38 × 58 / 25 lb,,CASE,25.5,17.5,13.5,5.5
38x58 NOVA® Black Repro Coreless Can Liners,NOVA523,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-black-repro-coreless-can-liners.jpg,Size: 38 x 58 | Weight: 34 lbs | Material: Reprocessed Resin (Up to 70% Recycled Content) | Case Quantity: 100 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NOVA® Black Repro Coreless Can Liners for hotels, motels, resorts, and commercial facilities — Reprocessed resin can liners offer an economical and environmentally conscious option, utilizing up to 70% recycled content. Designed for a wide variety of waste disposal applications. Room Ready Supply supplies this nova® black repro coreless can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Made with recycled materials,Cost-effective waste solution,Durable liner construction,Environmentally conscious choice,100,38 x 58,36.92,36.92,34.37,32.59,NOVA® Black Repro Coreless Can Liners,38 × 58 / 34 lb,,CASE,34,18.5,14.5,6.5
40x46 NOVA® Black Repro Coreless Can Liners,NOVA517,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-black-repro-coreless-can-liners.jpg,Size: 40 x 46 | Weight: 21 lbs | Material: Reprocessed Resin (Up to 70% Recycled Content) | Case Quantity: 100 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NOVA® Black Repro Coreless Can Liners for hotels, motels, resorts, and commercial facilities — Reprocessed resin can liners offer an economical and environmentally conscious option, utilizing up to 70% recycled content. Designed for a wide variety of waste disposal applications. Room Ready Supply supplies this nova® black repro coreless can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Made with recycled materials,Cost-effective waste solution,Durable liner construction,Environmentally conscious choice,100,40 x 46,30.87,30.87,28.74,27.25,NOVA® Black Repro Coreless Can Liners,40 × 46,,CASE,21,17,13,5
43x47 NOVA® Black Repro Coreless Can Liners,NOVA522,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-black-repro-coreless-can-liners.jpg,Size: 43 x 47 | Weight: 31 lbs | Material: Reprocessed Resin (Up to 70% Recycled Content) | Case Quantity: 100 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NOVA® Black Repro Coreless Can Liners for hotels, motels, resorts, and commercial facilities — Reprocessed resin can liners offer an economical and environmentally conscious option, utilizing up to 70% recycled content. Designed for a wide variety of waste disposal applications. Room Ready Supply supplies this nova® black repro coreless can liners in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Made with recycled materials,Cost-effective waste solution,Durable liner construction,Environmentally conscious choice,100,43 x 47,45.02,45.02,41.92,39.74,NOVA® Black Repro Coreless Can Liners,43 × 47,,CASE,31,18,14,6
4x3.1 Green® Heritage Pro 2-Ply Bathroom Tissue,276,https://res.cloudinary.com/ddx3g4yse/image/upload/green-heritage-pro-2-ply-bathroom-tissue.jpg,"Size: 4"" x 3.1"" | Weight: 26 lbs | Material: 2-Ply Tissue, SFI Certified | Case Quantity: 96 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Green® Heritage Pro 2-Ply Bathroom Tissue for hotels, motels, resorts, and commercial facilities — Delivers value and sustainability. SFI® Certified. Fast Flush® septic safe. 2-ply white tissue. Sheets per roll: 500. Room Ready Supply supplies this green® heritage pro 2-ply bathroom tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Soft 2-ply construction,SFI® Certified product,Fast Flush® septic-safe design,Sustainable paper solution,96,"4"" x 3.1""",49.95,49.95,47.36,45.14,Green® Heritage Pro 2-Ply Bathroom Tissue,500 Sheets/Roll,,CASE,26,26.5,18,17
4.0x3.1 Green® Heritage Pro 2-Ply Bathroom Tissue,248,https://res.cloudinary.com/ddx3g4yse/image/upload/green-heritage-pro-2-ply-bathroom-tissue.jpg,"Size: 4.0"" x 3.1"" | Weight: 23 lbs | Material: 2-Ply Tissue, SFI Certified | Case Quantity: 96 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Green® Heritage Pro 2-Ply Bathroom Tissue for hotels, motels, resorts, and commercial facilities — Delivers value and sustainability. SFI® Certified. Fast Flush® septic safe. 2-ply white tissue. Sheets per roll: 400. Room Ready Supply supplies this green® heritage pro 2-ply bathroom tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Soft 2-ply construction,SFI® Certified product,Fast Flush® septic-safe design,Sustainable paper solution,96,"4.0"" x 3.1""",44.55,44.55,42.24,40.26,Green® Heritage Pro 2-Ply Bathroom Tissue,400 Sheets/Roll,,CASE,23,26.1,17.6,16.8
85ct. Empress™ 2 Ply Facial Tissue,FT 30852,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-2-ply-facial-tissue.jpg,Size: 85 ct. | Weight: 19 lbs | Material: 2-Ply Facial Tissue | Case Quantity: 36 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Empress™ 2 Ply Facial Tissue for hotels, motels, resorts, and commercial facilities — Offers softness in every sheet with a gentle touch. Perfect for everyday use at home, in the office, or on the go. Sheet size 7.75"" x 7.5"". Room Ready Supply supplies this empress™ 2 ply facial tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Soft and gentle feel,Durable 2-ply construction,Ideal for home or office use,Convenient cube box packaging,36/85,85 ct.,32.31,32.31,30.63,29.19,,,,CASE,19,24,15.5,14
100ct. Empress™ Virgin 2 Ply Facial Tissue,FT 301002,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-virgin-2-ply-facial-tissue.jpg,Size: 100 ct. | Weight: 20 lbs | Material: Virgin Fiber 2-Ply Tissue | Case Quantity: 30 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Empress™ Virgin 2 Ply Facial Tissue for hotels, motels, resorts, and commercial facilities — Offers softness in every sheet with a gentle touch. Perfect for everyday use at home, in the office, or on the go. Sheet size 7.87"" x 7.68"". Room Ready Supply supplies this empress™ virgin 2 ply facial tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Premium virgin fiber construction,Soft and gentle touch,Bright white appearance,Durable 2-ply design,30/100,100 ct.,23.99,23.99,22.75,21.68,,,,CASE,20,24,15.5,14.5
90ct. Livi® VPG® Select Cube Box Facial Tissue,11516,https://res.cloudinary.com/ddx3g4yse/image/upload/livi-vpg-select-cube-box-facial-tissue.jpg,Size: 90 ct. | Weight: 21 lbs | Material: 2-Ply Facial Tissue | Case Quantity: 36 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Livi® VPG® Select Cube Box Facial Tissue for hotels, motels, resorts, and commercial facilities — Luxurious at-home softness that rivals top competitive facial tissues. Sustainable virgin-grown fiber creates a naturally whiter and brighter sheet. 2 ply, white. Room Ready Supply supplies this livi® vpg® select cube box facial tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Premium softness,Virgin-grown fiber quality,Bright white appearance,Strong 2-ply construction,36/90,90 ct.,38.11,38.11,36.13,34.44,,,,CASE,21,24.5,16,15
100Sheets Livi® VPG® Select Flat Box Facial Tissue,11513,https://res.cloudinary.com/ddx3g4yse/image/upload/livi-vpg-select-flat-box-facial-tissue.jpg,Size: 100 Sheets | Weight: 18.5 lbs | Material: 2-Ply Facial Tissue | Case Quantity: 30 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Livi® VPG® Select Flat Box Facial Tissue for hotels, motels, resorts, and commercial facilities — Luxurious at-home softness that rivals top competitive facial tissues. Sustainable virgin-grown fiber creates a naturally whiter and brighter sheet. 2 ply, white. Room Ready Supply supplies this livi® vpg® select flat box facial tissue in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Premium softness and comfort,Virgin-grown fiber quality,Bright white appearance,Strong 2-ply construction,30/100,100 Sheets,31.66,31.66,30.02,28.61,,,,CASE,18.5,22.5,15,12.5
